ms12713,====================== NEW FLIGHT LOG INITIATED ==============================
ms12714,phase, T-clock, altitude, altitude-max, speed, speed-max, temp, temp max, baroLaunch, baroApogee, ADXL, adxl.x, adxl.y, adxl.z, adxl.avgZ, adxl.linZ, adxl.maxZ, adxl.minZ, adxl.velocity, adxl.burnoutArm,adxl.burnout, adxl.apogee, LSM6D-A, lsm.x, lsm.y, lsm.z, lsm.avgZ, lsm.linZ, lsm.maxZ, lsm.minZ, lsm.velocity, lsm.burnoutArm,lsm.burnout, lsm.apogee, LSM-Gyro,lsm.gX, lsm.gY, lsm.gZ, lsm.yaw, lsm.pitch, lsm.roll, lsm.tilt, lsm.tiltMax, EVENTS, voltage, launch, burnout, apogee, fore, aft, sustainer, pyro-separation, pyro-sustainer, pyro-main, pyro-drogue, contMain, contDrogue, contSep, contSust, Staging Armed, CPU temp, CPU temp Max
ms16760,Main Continuity ON
ms16807,Drogue Continuity ON
ms16854,Separation Continuity ON
ms16898,Sustainer Continuity ON
ms16944,STARTUP,0.000,-9,8,7,7,105,105,0,0,ADXL:,-1085,247,-728,12,85,1712,-1542,0,0,0,0,LSM-A:,1003,6,15,3,3,22,-19,0,0,0,0,LSM-G:,0.0032,-0.0009,0.0001,-1,-2,-1,1.6,1.8,EVENTS:,100.00,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,144,144
7/17/2021-10:17:17.153,GPS Active - Acquired Time from GPS 
7/17/2021-10:17:19.988,STARTUP,0.000,0,10,1,7,106,106,0,0,ADXL:,-937,444,11,30,-63,1909,-1838,0,0,0,0,LSM-A:,1004,-7,13,2,4,25,-28,0,0,0,0,LSM-G:,-0.0006,-0.0021,0.0004,-0,-2,-0,2.0,2.5,EVENTS:,100.00,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,145,145
7/17/2021-10:17:25.034,STARTUP,0.000,-6,16,7,13,106,106,0,0,ADXL:,-2022,-345,-87,47,1009,1798,-1703,2,0,0,0,LSM-A:,1009,0,15,2,9,26,-28,0,0,0,0,LSM-G:,-0.0008,-0.0016,0.0004,-1,-1,-0,1.0,2.5,EVENTS:,100.00,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,145,145
7/17/2021-10:17:30.080,STARTUP,0.000,0,24,2,13,106,106,0,0,ADXL:,-1184,444,-778,20,171,2389,-1801,0,0,0,0,LSM-A:,997,-8,26,3,-3,34,-28,0,0,0,0,LSM-G:,-0.0012,-0.0016,0.0002,-0,-1,-1,1.1,2.5,EVENTS:,100.00,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,145,145
7/17/2021-10:17:35.126,STARTUP,0.000,-15,27,-4,13,106,106,0,0,ADXL:,-691,395,504,32,-322,2389,-1801,0,0,0,0,LSM-A:,999,-9,7,2,-2,34,-28,0,0,0,0,LSM-G:,-0.0006,-0.0016,0.0006,-1,-2,-0,1.5,2.5,EVENTS:,100.00,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,145,145
