ms12771,====================== NEW GPS LOG INITIATED ==============================
ms12772,@GPS,date,time, fix, quality, lat, long, altitude(M), speed(knots), angle, Satellites, friendly lat, friendly lon, ASL feet, altitude AGL
ms18478,No GPS fix:  
$GNRMC,172654.41,V,,,,,,,030721,,,N,V*18 GGA: 
$GNGGA,172654.36,,,,,0,00,99.99,,,,,,*7E
ms23528,No GPS fix:  $GNRMC,172659.42,V,,,,,,,030721,,,N,V*16 GGA: 
$GNGGA,172659.42,,,,,0,00,99.99,,,,,,*70
1/1/1970-00:00:28.582,07/03/2021,17:27:04,A,1,3520.85833N,11748.52888W,2060,0.089,,05,35.347637,-117.808815,0,0
7/3/2021-09:27:09.137,07/03/2021,17:27:10,A,1,3520.85826N,11748.52896W,2060,0.028,,06,35.347637,-117.808815,0,0
7/3/2021-09:27:14.189,07/03/2021,17:27:15,A,1,3520.85828N,11748.52891W,2059,0.086,,06,35.347637,-117.808815,0,0
7/3/2021-09:27:19.242,07/03/2021,17:27:20,A,1,3520.85815N,11748.52904W,2063,0.283,,07,35.347637,-117.808815,3,0
7/3/2021-09:27:24.354,07/03/2021,17:27:25,A,1,3520.85815N,11748.52902W,2064,0.245,,07,35.347637,-117.808815,4,0
7/3/2021-09:27:29.406,07/03/2021,17:27:30,A,1,3520.85822N,11748.52890W,2064,0.108,,07,35.347637,-117.808815,4,0
7/3/2021-09:27:34.460,07/03/2021,17:27:35,A,1,3520.85822N,11748.52883W,2064,0.156,,07,35.347637,-117.808815,4,0
7/3/2021-09:27:39.512,07/03/2021,17:27:40,A,1,3520.85813N,11748.52887W,2065,0.175,,10,35.347637,-117.808815,4,0
7/3/2021-09:27:44.565,07/03/2021,17:27:45,A,1,3520.85806N,11748.52893W,2065,0.185,,11,35.347633,-117.808815,5,0
7/3/2021-09:27:49.621,07/03/2021,17:27:50,A,1,3520.85796N,11748.52906W,2066,0.025,,11,35.347633,-117.808815,6,0
7/3/2021-09:27:54.756,07/03/2021,17:27:55,A,1,3520.85790N,11748.52924W,2067,0.140,,11,35.347633,-117.808823,0,0
7/3/2021-09:28:09.880,07/03/2021,17:28:10,A,1,3520.85773N,11748.52968W,2069,0.075,,11,35.347630,-117.808830,2,0
7/3/2021-09:28:24.993,07/03/2021,17:28:25,A,1,3520.85778N,11748.52976W,2070,0.081,,12,35.347630,-117.808830,3,0
7/3/2021-09:28:39.691,07/03/2021,17:28:40,A,1,3520.85784N,11748.52959W,2070,0.134,,12,35.347630,-117.808830,3,0
7/3/2021-09:28:54.838,07/03/2021,17:28:55,A,1,3520.85784N,11748.52958W,2071,0.028,,12,35.347630,-117.808823,4,0
7/3/2021-09:29:09.988,07/03/2021,17:29:10,A,1,3520.85788N,11748.52957W,2068,0.189,,12,35.347630,-117.808823,4,0
7/3/2021-09:29:25.188,07/03/2021,17:29:25,A,1,3520.85807N,11748.52938W,2065,0.070,,12,35.347633,-117.808823,4,0
7/3/2021-09:29:39.820,07/03/2021,17:29:41,A,1,3520.85823N,11748.52940W,2065,0.078,,12,35.347637,-117.808823,4,0
7/3/2021-09:29:54.958,07/03/2021,17:29:56,A,1,3520.85828N,11748.52946W,2064,0.093,,12,35.347637,-117.808823,4,0
7/3/2021-09:30:10.102,07/03/2021,17:30:11,A,1,3520.85835N,11748.52951W,2063,0.162,,12,35.347641,-117.808823,4,0
7/3/2021-09:30:25.309,07/03/2021,17:30:26,A,1,3520.85841N,11748.52947W,2062,0.259,,12,35.347641,-117.808823,4,0
7/3/2021-09:30:39.960,07/03/2021,17:30:41,A,1,3520.85850N,11748.52935W,2062,0.011,,12,35.347641,-117.808823,4,0
7/3/2021-09:30:55.195,07/03/2021,17:30:56,A,1,3520.85837N,11748.52951W,2064,0.176,,12,35.347641,-117.808823,4,0
7/3/2021-09:31:10.330,07/03/2021,17:31:11,A,1,3520.85837N,11748.52954W,2065,0.099,,12,35.347641,-117.808823,4,0
7/3/2021-09:31:25.468,07/03/2021,17:31:26,A,1,3520.85858N,11748.52930W,2065,0.061,,12,35.347645,-117.808823,4,0
7/3/2021-09:31:40.112,07/03/2021,17:31:41,A,1,3520.85871N,11748.52909W,2065,0.086,,12,35.347645,-117.808815,4,0
7/3/2021-09:31:55.265,07/03/2021,17:31:56,A,1,3520.85851N,11748.52946W,2070,0.069,,12,35.347641,-117.808823,4,0
7/3/2021-09:32:10.463,07/03/2021,17:32:11,A,1,3520.85845N,11748.52942W,2073,0.108,,12,35.347641,-117.808823,6,0
7/3/2021-09:32:25.594,07/03/2021,17:32:26,A,1,3520.85842N,11748.52915W,2073,0.197,,12,35.347641,-117.808823,6,0
7/3/2021-09:32:40.233,07/03/2021,17:32:41,A,1,3520.85843N,11748.52920W,2069,0.114,,12,35.347641,-117.808823,6,0
7/3/2021-09:32:55.436,07/03/2021,17:32:56,A,1,3520.85840N,11748.52928W,2068,0.061,,12,35.347641,-117.808823,6,0
7/3/2021-09:33:10.581,07/03/2021,17:33:11,A,1,3520.85842N,11748.52916W,2069,0.179,,12,35.347641,-117.808823,6,0
7/3/2021-09:33:25.738,07/03/2021,17:33:26,A,1,3520.85846N,11748.52914W,2069,0.080,,12,35.347641,-117.808823,6,0
7/3/2021-09:33:40.431,07/03/2021,17:33:41,A,1,3520.85836N,11748.52942W,2067,0.051,,12,35.347641,-117.808823,6,0
7/3/2021-09:33:55.622,07/03/2021,17:33:56,A,1,3520.85839N,11748.52942W,2066,0.045,,12,35.347641,-117.808823,6,0
7/3/2021-09:34:10.757,07/03/2021,17:34:11,A,1,3520.85849N,11748.52934W,2065,0.031,,12,35.347641,-117.808823,6,0
7/3/2021-09:34:25.403,07/03/2021,17:34:26,A,1,3520.85837N,11748.52951W,2067,0.045,,12,35.347641,-117.808823,6,0
7/3/2021-09:34:40.551,07/03/2021,17:34:41,A,1,3520.85834N,11748.52966W,2068,0.131,,12,35.347637,-117.808830,6,0
7/3/2021-09:34:55.704,07/03/2021,17:34:56,A,1,3520.85833N,11748.52958W,2065,0.056,,12,35.347637,-117.808823,6,0
7/3/2021-09:35:10.882,07/03/2021,17:35:11,A,1,3520.85835N,11748.52937W,2063,0.134,,12,35.347641,-117.808823,6,0
7/3/2021-09:35:25.522,07/03/2021,17:35:26,A,1,3520.85823N,11748.52962W,2066,0.114,,12,35.347637,-117.808830,6,0
7/3/2021-09:35:40.663,07/03/2021,17:35:41,A,1,3520.85817N,11748.52963W,2068,0.075,,12,35.347637,-117.808830,6,0
7/3/2021-09:35:55.810,07/03/2021,17:35:56,A,1,3520.85823N,11748.52959W,2067,0.032,,12,35.347637,-117.808830,6,0
7/3/2021-09:36:10.960,07/03/2021,17:36:11,A,1,3520.85831N,11748.52946W,2064,0.044,,12,35.347637,-117.808823,6,0
7/3/2021-09:36:25.659,07/03/2021,17:36:26,A,1,3520.85823N,11748.52943W,2061,0.095,,12,35.347637,-117.808823,6,0
7/3/2021-09:36:40.795,07/03/2021,17:36:41,A,1,3520.85822N,11748.52952W,2060,0.049,,12,35.347637,-117.808823,6,0
7/3/2021-09:36:55.936,07/03/2021,17:36:56,A,1,3520.85828N,11748.52946W,2058,0.065,,12,35.347637,-117.808823,6,0
7/3/2021-09:37:11.079,07/03/2021,17:37:11,A,1,3520.85832N,11748.52942W,2055,0.107,,12,35.347637,-117.808823,6,0
7/3/2021-09:37:25.687,07/03/2021,17:37:26,A,1,3520.85829N,11748.52936W,2053,0.088,,12,35.347637,-117.808823,6,0
7/3/2021-09:37:40.840,07/03/2021,17:37:41,A,1,3520.85814N,11748.52950W,2055,0.045,,12,35.347637,-117.808823,6,0
7/3/2021-09:37:56.087,07/03/2021,17:37:56,A,1,3520.85815N,11748.52952W,2056,0.055,,12,35.347637,-117.808823,6,0
7/3/2021-09:38:10.716,07/03/2021,17:38:11,A,1,3520.85819N,11748.52945W,2054,0.028,,12,35.347637,-117.808823,6,0
